hpo_id,score
HP:0001250,1.488888888888889
HP:0000613,1.191111111111111
HP:0002376,1.1555555555555554
HP:0001251,1.1555555555555554
HP:0000572,1.08
HP:0000518,1.08
HP:0000508,1.0444444444444443
HP:0001288,1.0444444444444443
HP:0001260,1.0444444444444443
HP:0002205,1.0444444444444443
HP:0000708,1.0444444444444443
HP:0000639,1.0444444444444443
HP:0000006,1.0
HP:0011675,0.9333333333333333
HP:0001324,0.9333333333333333
HP:0002015,0.9333333333333333
HP:0003401,0.9333333333333333
HP:0000365,0.9333333333333333
HP:0002321,0.9333333333333333
HP:0002014,0.9333333333333333
HP:0002633,0.9333333333333333
HP:0001872,0.9333333333333333
HP:0009830,0.9333333333333333
HP:0010783,0.9333333333333333
HP:0000975,0.9333333333333333
HP:0000648,0.9333333333333333
HP:0100543,0.9333333333333333
HP:0002094,0.8222222222222222
HP:0001635,0.8222222222222222
HP:0003326,0.8222222222222222
HP:0012378,0.8222222222222222
HP:0100749,0.8222222222222222
HP:0000651,0.8222222222222222
HP:0002315,0.8222222222222222
HP:0001645,0.8222222222222222
HP:0000505,0.8222222222222222
HP:0007256,0.8222222222222222
HP:0003593,0.7777777777777778
HP:0002808,0.711111111111111
HP:0000597,0.711111111111111
HP:0002091,0.711111111111111
HP:0002202,0.711111111111111
HP:0002093,0.711111111111111
HP:0001297,0.711111111111111
HP:0002027,0.711111111111111
HP:0001426,0.711111111111111
HP:0001644,0.711111111111111
HP:0001658,0.711111111111111
HP:0100576,0.711111111111111
HP:0002167,0.711111111111111
HP:0001289,0.711111111111111
HP:0000618,0.711111111111111
HP:0000737,0.711111111111111
HP:0001269,0.711111111111111
HP:0008391,0.711111111111111
HP:0001097,0.711111111111111
HP:0001347,0.711111111111111
HP:0002039,0.711111111111111
HP:0000622,0.7022222222222222
HP:0001252,0.6666666666666666
HP:0001249,0.6666666666666666
HP:0012332,0.6666666666666666
HP:0003418,0.6
HP:0001637,0.6
HP:0002103,0.6
HP:0100806,0.6
HP:0001596,0.6
HP:0000716,0.6
HP:0034438,0.6
HP:0012121,0.6
HP:0003249,0.6
HP:0003419,0.6
HP:0200020,0.6
HP:0012122,0.6
HP:0001654,0.6
HP:0000010,0.6
HP:0033834,0.6
HP:0100758,0.6
HP:0100654,0.6
HP:0000795,0.6
HP:0005413,0.6
HP:0001873,0.6
HP:0004372,0.6
HP:0001597,0.6
HP:0011658,0.6
HP:0040313,0.6
HP:0005244,0.6
HP:0006554,0.6
HP:0033123,0.6
HP:0001824,0.6
HP:0000554,0.6
HP:0002092,0.6
HP:0001945,0.6
HP:0032554,0.6
HP:6000944,0.6
HP:0001369,0.6
HP:0002637,0.6
HP:0001101,0.6
HP:0002206,0.6
HP:0001920,0.6
HP:0001287,0.6
HP:0002326,0.6
HP:0002754,0.6
HP:0008843,0.6
HP:0002923,0.6
HP:0500006,0.6
HP:0002354,0.6
HP:0000405,0.6
HP:0000988,0.6
HP:0004936,0.6
HP:0004420,0.6
HP:0001123,0.6
HP:0005764,0.6
HP:0000099,0.6
HP:0002113,0.6
HP:0100721,0.6
HP:0003781,0.6
HP:0001387,0.6
HP:0001653,0.6
HP:0012735,0.6
HP:0100820,0.6
HP:0200042,0.6
HP:0002043,0.6
HP:0001954,0.6
HP:0002647,0.6
HP:0001701,0.6
HP:0000790,0.6
HP:0031246,0.6
HP:0025532,0.6
HP:0100776,0.6
HP:0100545,0.6
HP:0002617,0.6
HP:0011107,0.6
HP:0200034,0.6
HP:0100792,0.6
HP:0002516,0.6
HP:0012819,0.6
HP:0100518,0.6
HP:0012649,0.6
HP:0100735,0.6
HP:0001960,0.6
HP:0200039,0.6
HP:0033430,0.6
HP:0005112,0.6
HP:0100584,0.6
HP:6000945,0.6
HP:0001733,0.6
HP:0000621,0.6
HP:0004970,0.6
HP:0002204,0.6
HP:0002716,0.6
HP:0012089,0.6
HP:0030783,0.6
HP:0011899,0.6
HP:0001061,0.6
HP:0030164,0.6
HP:0000509,0.6
HP:0005216,0.6
HP:0001659,0.6
HP:0003765,0.6
HP:0100326,0.6
HP:0002024,0.6
HP:0001874,0.6
HP:0100809,0.6
HP:0100773,0.6
HP:0008066,0.6
HP:0000488,0.6
HP:0001482,0.6
HP:0003565,0.6
HP:0001386,0.6
HP:0002383,0.6
HP:4000041,0.6
HP:0002105,0.6
HP:0002638,0.6
HP:0001646,0.6
HP:0002017,0.6
HP:0100796,0.6
HP:0100653,0.6
HP:0002829,0.6
HP:0000421,0.6
HP:0010885,0.6
HP:0012317,0.6
HP:0100614,0.6
HP:0000031,0.6
HP:0001744,0.6
HP:0002076,0.6
HP:0012733,0.6
HP:0006824,0.6
HP:0011227,0.6
HP:0000962,0.6
HP:0002037,0.6
HP:0007813,0.6
HP:0001903,0.6
HP:0000083,0.6
HP:0100686,0.6
HP:0002367,0.6
HP:0002102,0.6
HP:0004306,0.6
HP:0000206,0.6
