hpo_id,score
HP:0003326,1.8574825000000001
HP:0003236,1.7901451000000002
HP:0031956,1.2288568
HP:0031964,1.2280429
HP:0002015,1.2266488
HP:0001265,1.1616067
HP:0001284,1.1029756
HP:0001315,1.0
HP:0004887,1.0
HP:0003803,1.0
HP:0003155,1.0
HP:0003596,1.0
HP:0004379,1.0
HP:0000007,1.0
HP:0030099,1.0
HP:0003327,1.0
HP:0003621,1.0
HP:0002747,1.0
HP:0008981,1.0
HP:0003687,1.0
HP:0002093,1.0
HP:0410174,1.0
HP:0007210,1.0
HP:0025168,1.0
HP:0410263,1.0
HP:0003738,1.0
HP:0003593,1.0
HP:0002098,1.0
HP:0003701,1.0
HP:0010602,1.0
HP:0011463,1.0
HP:0040081,1.0
HP:0009129,1.0
HP:0002505,1.0
HP:0100297,1.0
HP:0012240,1.0
HP:0000989,0.8784357
HP:0000952,0.8350647
HP:0003198,0.7931957999999999
HP:0001000,0.6
HP:0002904,0.6
HP:0002908,0.6
HP:0012379,0.6
HP:0031811,0.6
HP:0010984,0.6
HP:0032106,0.6
HP:0031137,0.6
HP:0000924,0.6
HP:0001046,0.6
HP:0010473,0.6
