hpo_id,score
HP:0000006,9.0
HP:0001250,8.0
HP:0003593,7.0
HP:0001249,6.0
HP:0001252,6.0
HP:0012332,6.0
HP:0001290,5.0
HP:0011463,5.0
HP:0002069,5.0
HP:0100710,5.0
HP:0002063,5.0
HP:0001251,5.0
HP:0002384,5.0
HP:0011968,5.0
HP:0002133,5.0
HP:0001337,5.0
HP:0007359,5.0
HP:0001336,5.0
HP:0002376,5.0
HP:0003577,5.0
HP:0000639,4.0
HP:0002059,4.0
HP:0002373,4.0
HP:0001265,4.0
HP:0011171,4.0
HP:0002421,4.0
HP:0000508,4.0
HP:0002121,4.0
HP:0001558,4.0
HP:0000348,4.0
HP:0001257,4.0
HP:0010818,4.0
HP:0002020,4.0
HP:0000252,4.0
HP:0200134,4.0
HP:0001508,4.0
HP:0001276,4.0
HP:0000708,4.0
HP:0011182,4.0
HP:0001315,4.0
HP:0004322,4.0
HP:0000717,4.0
HP:0001270,4.0
HP:0012547,4.0
HP:0001260,4.0
HP:0001268,4.0
HP:0006813,4.0
HP:0100660,4.0
HP:0010841,4.0
HP:0011169,4.0
