gene_id,hpo_id
HMGCR,HP:0003701
HMGCR,HP:0003738
HMGCR,HP:0003803
HMGCR,HP:0004379
HMGCR,HP:0004887
HMGCR,HP:0007210
HMGCR,HP:0008981
HMGCR,HP:0009129
HMGCR,HP:0010602
HMGCR,HP:0011463
HMGCR,HP:0012240
HMGCR,HP:0025168
HMGCR,HP:0030099
HMGCR,HP:0031956
HMGCR,HP:0031964
HMGCR,HP:0040081
HMGCR,HP:0100297
HMGCR,HP:0410174
HMGCR,HP:0410263
SCN10A,HP:0000006
SCN10A,HP:0000365
SCN10A,HP:0000989
SCN10A,HP:0001197
SCN10A,HP:0001250
SCN10A,HP:0001279
SCN10A,HP:0001645
SCN10A,HP:0001649
SCN10A,HP:0001663
SCN10A,HP:0001664
SCN10A,HP:0001688
SCN10A,HP:0001695
SCN10A,HP:0001872
SCN10A,HP:0001909
SCN10A,HP:0002019
SCN10A,HP:0002045
SCN10A,HP:0002205
SCN10A,HP:0002633
SCN10A,HP:0002900
SCN10A,HP:0002936
SCN10A,HP:0003581
SCN10A,HP:0004308
SCN10A,HP:0004751
SCN10A,HP:0004755
SCN10A,HP:0005135
SCN10A,HP:0005184
SCN10A,HP:0009830
SCN10A,HP:0010741
SCN10A,HP:0010783
SCN10A,HP:0011704
SCN10A,HP:0011705
SCN10A,HP:0011712
SCN10A,HP:0011715
SCN10A,HP:0012251
SCN10A,HP:0012332
SCN10A,HP:0012533
SCN10A,HP:0012534
SCN10A,HP:0032147
SCN10A,HP:0200101
SCN10A,HP:0500018
SCN11A,HP:0000006
SCN11A,HP:0000975
SCN11A,HP:0000989
SCN11A,HP:0001058
SCN11A,HP:0001250
SCN11A,HP:0001270
SCN11A,HP:0001324
SCN11A,HP:0001872
SCN11A,HP:0001909
SCN11A,HP:0002014
SCN11A,HP:0002019
SCN11A,HP:0002045
SCN11A,HP:0002205
SCN11A,HP:0002633
SCN11A,HP:0002936
SCN11A,HP:0003577
SCN11A,HP:0003593
SCN11A,HP:0007021
SCN11A,HP:0009830
SCN11A,HP:0010741
SCN11A,HP:0010783
SCN11A,HP:0012332
SCN11A,HP:0012531
SCN11A,HP:0012533
SCN11A,HP:0012534
SCN11A,HP:0032147
SCN11A,HP:0200101
SCN1A,HP:0000006
SCN1A,HP:0000154
SCN1A,HP:0000160
SCN1A,HP:0000179
SCN1A,HP:0000219
SCN1A,HP:0000252
SCN1A,HP:0000289
SCN1A,HP:0000316
SCN1A,HP:0000343
SCN1A,HP:0000348
SCN1A,HP:0000360
SCN1A,HP:0000365
SCN1A,HP:0000431
SCN1A,HP:0000463
SCN1A,HP:0000466
SCN1A,HP:0000494
SCN1A,HP:0000504
SCN1A,HP:0000505
SCN1A,HP:0000508
SCN1A,HP:0000546
SCN1A,HP:0000568
SCN1A,HP:0000575
SCN1A,HP:0000613
SCN1A,HP:0000618
SCN1A,HP:0000639
SCN1A,HP:0000648
SCN1A,HP:0000651
SCN1A,HP:0000668
SCN1A,HP:0000708
SCN1A,HP:0000709
SCN1A,HP:0000717
SCN1A,HP:0000718
SCN1A,HP:0000729
SCN1A,HP:0000733
SCN1A,HP:0000736
SCN1A,HP:0000737
SCN1A,HP:0000739
SCN1A,HP:0000741
SCN1A,HP:0000750
SCN1A,HP:0000752
SCN1A,HP:0000826
SCN1A,HP:0000980
SCN1A,HP:0001159
SCN1A,HP:0001249
SCN1A,HP:0001250
SCN1A,HP:0001251
SCN1A,HP:0001252
SCN1A,HP:0001257
SCN1A,HP:0001259
SCN1A,HP:0001260
SCN1A,HP:0001263
SCN1A,HP:0001265
SCN1A,HP:0001266
SCN1A,HP:0001268
SCN1A,HP:0001269
SCN1A,HP:0001270
SCN1A,HP:0001272
SCN1A,HP:0001273
SCN1A,HP:0001276
SCN1A,HP:0001288
SCN1A,HP:0001289
SCN1A,HP:0001290
SCN1A,HP:0001298
SCN1A,HP:0001300
SCN1A,HP:0001308
SCN1A,HP:0001315
SCN1A,HP:0001324
SCN1A,HP:0001326
SCN1A,HP:0001327
SCN1A,HP:0001332
SCN1A,HP:0001336
SCN1A,HP:0001337
SCN1A,HP:0001344
SCN1A,HP:0001348
SCN1A,HP:0001508
SCN1A,HP:0001558
SCN1A,HP:0001763
SCN1A,HP:0001999
SCN1A,HP:0002020
SCN1A,HP:0002059
SCN1A,HP:0002063
SCN1A,HP:0002067
SCN1A,HP:0002069
SCN1A,HP:0002072
SCN1A,HP:0002077
SCN1A,HP:0002121
SCN1A,HP:0002123
SCN1A,HP:0002133
SCN1A,HP:0002167
SCN1A,HP:0002172
SCN1A,HP:0002181
SCN1A,HP:0002183
SCN1A,HP:0002197
SCN1A,HP:0002283
SCN1A,HP:0002292
SCN1A,HP:0002301
SCN1A,HP:0002307
SCN1A,HP:0002311
SCN1A,HP:0002317
SCN1A,HP:0002321
SCN1A,HP:0002332
SCN1A,HP:0002345
SCN1A,HP:0002349
SCN1A,HP:0002353
SCN1A,HP:0002363
SCN1A,HP:0002373
SCN1A,HP:0002376
SCN1A,HP:0002381
SCN1A,HP:0002384
SCN1A,HP:0002392
SCN1A,HP:0002396
SCN1A,HP:0002421
SCN1A,HP:0002463
SCN1A,HP:0002487
SCN1A,HP:0002509
SCN1A,HP:0002521
SCN1A,HP:0002527
SCN1A,HP:0002539
SCN1A,HP:0002540
SCN1A,HP:0002650
SCN1A,HP:0002922
SCN1A,HP:0003066
SCN1A,HP:0003392
SCN1A,HP:0003401
SCN1A,HP:0003593
SCN1A,HP:0003621
SCN1A,HP:0003828
SCN1A,HP:0004302
SCN1A,HP:0004305
SCN1A,HP:0004322
SCN1A,HP:0004684
SCN1A,HP:0005484
SCN1A,HP:0006813
SCN1A,HP:0007010
SCN1A,HP:0007018
SCN1A,HP:0007058
SCN1A,HP:0007207
SCN1A,HP:0007209
SCN1A,HP:0007240
SCN1A,HP:0007256
SCN1A,HP:0007270
SCN1A,HP:0007334
SCN1A,HP:0007359
SCN1A,HP:0007979
SCN1A,HP:0008081
SCN1A,HP:0008770
SCN1A,HP:0008936
SCN1A,HP:0008947
SCN1A,HP:0008959
SCN1A,HP:0009928
SCN1A,HP:0010533
SCN1A,HP:0010544
SCN1A,HP:0010818
SCN1A,HP:0010819
SCN1A,HP:0010821
SCN1A,HP:0010829
SCN1A,HP:0010833
SCN1A,HP:0010835
SCN1A,HP:0010841
SCN1A,HP:0010844
SCN1A,HP:0010845
SCN1A,HP:0010849
SCN1A,HP:0010850
SCN1A,HP:0011097
SCN1A,HP:0011150
SCN1A,HP:0011151
SCN1A,HP:0011153
SCN1A,HP:0011157
SCN1A,HP:0011169
SCN1A,HP:0011170
SCN1A,HP:0011171
SCN1A,HP:0011172
SCN1A,HP:0011182
SCN1A,HP:0011185
SCN1A,HP:0011195
SCN1A,HP:0011196
SCN1A,HP:0011197
SCN1A,HP:0011198
SCN1A,HP:0011199
SCN1A,HP:0011220
SCN1A,HP:0011443
SCN1A,HP:0011462
SCN1A,HP:0011463
SCN1A,HP:0011468
SCN1A,HP:0011471
SCN1A,HP:0011968
SCN1A,HP:0012044
SCN1A,HP:0012075
SCN1A,HP:0012229
SCN1A,HP:0012444
SCN1A,HP:0012447
SCN1A,HP:0012448
SCN1A,HP:0012508
SCN1A,HP:0012547
SCN1A,HP:0012758
SCN1A,HP:0012760
SCN1A,HP:0012847
SCN1A,HP:0020216
SCN1A,HP:0025101
SCN1A,HP:0025190
SCN1A,HP:0025517
SCN1A,HP:0030786
SCN1A,HP:0031179
SCN1A,HP:0031475
SCN1A,HP:0031834
SCN1A,HP:0032044
SCN1A,HP:0032506
SCN1A,HP:0032792
SCN1A,HP:0032794
SCN1A,HP:0032900
SCN1A,HP:0032901
SCN1A,HP:0033258
SCN1A,HP:0100543
SCN1A,HP:0100576
SCN1A,HP:0100660
SCN1A,HP:0100678
SCN1A,HP:0100694
SCN1A,HP:0100702
SCN1A,HP:0100704
SCN1A,HP:0100710
SCN1A,HP:0100851
SCN1A,HP:0200048
SCN1A,HP:0200134
SCN1A,HP:0200149
SCN1A,HP:0410263
SCN2A,HP:0000006
SCN2A,HP:0000054
SCN2A,HP:0000070
SCN2A,HP:0000110
SCN2A,HP:0000175
SCN2A,HP:0000252
SCN2A,HP:0000297
SCN2A,HP:0000340
SCN2A,HP:0000348
SCN2A,HP:0000463
SCN2A,HP:0000466
SCN2A,HP:0000486
SCN2A,HP:0000505
SCN2A,HP:0000565
SCN2A,HP:0000577
SCN2A,HP:0000639
SCN2A,HP:0000657
SCN2A,HP:0000707
SCN2A,HP:0000708
SCN2A,HP:0000712
SCN2A,HP:0000717
SCN2A,HP:0000718
SCN2A,HP:0000729
SCN2A,HP:0000736
SCN2A,HP:0000739
SCN2A,HP:0000750
SCN2A,HP:0000752
SCN2A,HP:0000826
SCN2A,HP:0000961
SCN2A,HP:0000975
SCN2A,HP:0000980
SCN2A,HP:0001249
SCN2A,HP:0001250
SCN2A,HP:0001251
SCN2A,HP:0001252
SCN2A,HP:0001254
SCN2A,HP:0001257
SCN2A,HP:0001260
SCN2A,HP:0001263
SCN2A,HP:0001266
SCN2A,HP:0001268
SCN2A,HP:0001272
SCN2A,HP:0001273
SCN2A,HP:0001276
SCN2A,HP:0001284
SCN2A,HP:0001298
SCN2A,HP:0001300
SCN2A,HP:0001302
SCN2A,HP:0001327
SCN2A,HP:0001332
SCN2A,HP:0001336
SCN2A,HP:0001337
SCN2A,HP:0001347
SCN2A,HP:0001350
SCN2A,HP:0001500
SCN2A,HP:0001508
SCN2A,HP:0001537
SCN2A,HP:0001629
SCN2A,HP:0001638
SCN2A,HP:0001763
SCN2A,HP:0001944
SCN2A,HP:0002013
SCN2A,HP:0002014
SCN2A,HP:0002015
SCN2A,HP:0002018
SCN2A,HP:0002019
SCN2A,HP:0002033
SCN2A,HP:0002039
SCN2A,HP:0002059
SCN2A,HP:0002063
SCN2A,HP:0002067
SCN2A,HP:0002069
SCN2A,HP:0002072
SCN2A,HP:0002079
SCN2A,HP:0002098
SCN2A,HP:0002104
SCN2A,HP:0002121
SCN2A,HP:0002123
SCN2A,HP:0002131
SCN2A,HP:0002133
SCN2A,HP:0002172
SCN2A,HP:0002197
SCN2A,HP:0002205
SCN2A,HP:0002263
SCN2A,HP:0002266
SCN2A,HP:0002273
SCN2A,HP:0002283
SCN2A,HP:0002307
SCN2A,HP:0002311
SCN2A,HP:0002315
SCN2A,HP:0002321
SCN2A,HP:0002344
SCN2A,HP:0002345
SCN2A,HP:0002349
SCN2A,HP:0002353
SCN2A,HP:0002360
SCN2A,HP:0002361
SCN2A,HP:0002372
SCN2A,HP:0002373
SCN2A,HP:0002376
SCN2A,HP:0002384
SCN2A,HP:0002396
SCN2A,HP:0002421
SCN2A,HP:0002483
SCN2A,HP:0002487
SCN2A,HP:0002506
SCN2A,HP:0002510
SCN2A,HP:0002521
SCN2A,HP:0002539
SCN2A,HP:0002540
SCN2A,HP:0002579
SCN2A,HP:0002650
SCN2A,HP:0002714
SCN2A,HP:0002835
SCN2A,HP:0003066
SCN2A,HP:0003270
SCN2A,HP:0003593
SCN2A,HP:0004302
SCN2A,HP:0004684
SCN2A,HP:0005135
SCN2A,HP:0005280
SCN2A,HP:0006813
SCN2A,HP:0007010
SCN2A,HP:0007058
SCN2A,HP:0007166
SCN2A,HP:0007204
SCN2A,HP:0007207
SCN2A,HP:0007240
SCN2A,HP:0007256
SCN2A,HP:0007270
SCN2A,HP:0007334
SCN2A,HP:0007359
SCN2A,HP:0008081
SCN2A,HP:0008770
SCN2A,HP:0008947
SCN2A,HP:0009381
SCN2A,HP:0010174
SCN2A,HP:0010532
SCN2A,HP:0010818
SCN2A,HP:0010819
SCN2A,HP:0010821
SCN2A,HP:0010841
SCN2A,HP:0010850
SCN2A,HP:0010851
SCN2A,HP:0011024
SCN2A,HP:0011097
SCN2A,HP:0011121
SCN2A,HP:0011151
SCN2A,HP:0011153
SCN2A,HP:0011167
SCN2A,HP:0011169
SCN2A,HP:0011171
SCN2A,HP:0011172
SCN2A,HP:0011182
SCN2A,HP:0011185
SCN2A,HP:0011190
SCN2A,HP:0011193
SCN2A,HP:0011198
SCN2A,HP:0011344
SCN2A,HP:0011463
SCN2A,HP:0011468
SCN2A,HP:0011499
SCN2A,HP:0011675
SCN2A,HP:0011968
